advertiser_id,party_all_clf
AR00000475401340059649,REP
AR00008638175664668673,DEM
AR00013006535361822721,REP
AR00015213186479292417,REP
AR00017645374919409665,DEM
AR00030488220487647233,DEM
AR00032000598731653121,DEM
AR00035659773428891649,DEM
AR00036303262609047553,DEM
AR00037003582796464129,REP
AR00038755998172708865,DEM
AR00042500385021100033,DEM
AR00050014997241135105,REP
AR00053674171938373633,DEM
AR00054518596868505601,DEM
AR00062681371193114625,REP
AR00063525796123246593,DEM
AR00064797931076583425,DEM
AR00067268808582103041,DEM
AR00068029395750617089,DEM
AR00068171782506414081,REP
AR00069070839420551169,DEM
AR00071688570447855617,DEM
AR00072397755447771137,REP
AR00077564291867213825,DEM
AR00081540194632728577,REP
AR00086043794260099073,DEM
AR00088577000331018241,REP
AR00090547393887469569,DEM
AR00095050993514840065,REP
AR00098794005973696513,REP
AR00103971331350986753,DEM
AR00108266229927510017,DEM
AR00110813592210636801,DEM
AR00116969757814554625,DEM
AR00126576190906433537,REP
AR00128067403551604737,DEM
AR00133696903085817857,REP
AR00134422305882243073,DEM
AR00135717736738193409,REP
AR00147294838264430593,DEM
AR00151210748926754817,DEM
AR00157705495392550913,DEM
AR00161760562995265537,REP
AR00164856787739082753,REP
AR00167636353134100481,REP
AR00168733322141237249,REP
AR00170851600011624449,DEM
AR00176323800663588865,DEM
AR00177863116942475265,DEM
AR00179971980244549633,DEM
AR00181891521388216321,REP
AR00184243033162645505,REP
AR00184362398893735937,REP
AR00190535332049977345,REP
AR00192021871770730497,REP
AR00194130185316990977,DEM
AR00204907804450881537,REP
AR00211383996657958913,REP
AR00211449623758241793,DEM
AR00217593969612161025,DEM
AR00218899983267528705,DEM
AR00221151783081213953,DEM
AR00226646042685210625,REP
AR00227045371564523521,REP
AR00240438316544032769,REP
AR00242508696939134977,DEM
AR00244757198217936897,REP
AR00248173380845436929,REP
AR00256411128119164929,DEM
AR00260516704537280513,DEM
AR00260923592559034369,REP
AR00261684179727548417,REP
AR00262350689932410881,DEM
AR00269846954052157441,REP
AR00275427181721550849,REP
AR00276686191254831105,REP
AR00281394781081305089,DEM
AR00282478143632048129,REP
AR00284202177864400897,DEM
AR00285773379980492801,REP
AR00290957577305456641,DEM
AR00291322890043785217,DEM
AR00293140314045022209,REP
AR00293209377119141889,REP
AR00293737142700474369,DEM
AR00299376743997767681,REP
AR00306525768601567233,REP
AR00308499185814994945,DEM
AR00308971975814938625,DEM
AR00311589088366952449,REP
AR00312125924919214081,REP
AR00315727375255994369,DEM
AR00319636688848551937,DEM
AR00323555004692561921,DEM
AR00326986374324420609,REP
AR00334269539346808833,REP
AR00337499560911831041,REP
AR00337697816602214401,DEM
AR00339517508346183681,DEM
AR00340999924898332673,DEM
AR00341732474520338433,REP
AR00345000772833902593,DEM
AR00345503524525703169,REP
AR00349869685199601665,DEM
AR00351756172274958337,DEM
AR00353589814072705025,DEM
AR00355499184733814785,DEM
AR00358106058083794945,REP
AR00366257631133696001,REP
AR00375571044376772609,REP
AR00376735976946401281,REP
AR00378236741598838785,DEM
AR00386769776464101377,REP
AR00389057104247259137,DEM
AR00389592772568416257,DEM
AR00391127484642361345,REP
AR00396792168548663297,DEM
AR00399043968362348545,REP
AR00403009357047922689,DEM
AR00404287539315212289,DEM
AR00414052302081490945,REP
AR00418524222030086145,REP
AR00426204310750101505,DEM
AR00435072765381312513,REP
AR00440229131318198273,DEM
AR00442965266003918849,REP
AR00446859530031071233,DEM
AR00473718674952290305,DEM
AR00475569908936081409,DEM
AR00476373720655462401,REP
AR00477864658422726657,DEM
AR00484144175487385601,DEM
AR00500792705677262849,REP
AR00503555022483619841,DEM
AR00504382886019858433,DEM
AR00513885758860296193,DEM
AR00515068764652306433,REP
AR00515427480320868353,REP
AR00517628771319152641,REP
AR00518720242768150529,REP
AR00522892958115037185,DEM
AR00524282672093069313,DEM
AR00528668692695744513,REP
AR00531139570201264129,DEM
AR00533553822857953281,DEM
AR00535643169828634625,DEM
AR00536403756997148673,DEM
AR00536869881207848961,DEM
AR00538040586213523457,DEM
AR00543831507798589441,DEM
AR00551267161339854849,REP
AR00563425354761371649,REP
AR00568517399268032513,REP
AR00574206822185959425,REP
AR00575359453969252353,DEM
AR00579187953457168385,DEM
AR00584848170597482497,DEM
AR00585943352898224129,DEM
AR00591049141300232193,REP
AR00592663567967191041,REP
AR00594106127222833153,DEM
AR00605634163042680833,DEM
AR00615216750476132353,DEM
AR00618938047580340225,REP
AR00621898482638127105,DEM
AR00626618136300355585,DEM
AR00630979349171929089,REP
AR00640204457887399937,DEM
AR00641963126736027649,DEM
AR00643194030003322881,DEM
AR00644490148054040577,REP
AR00648993747681411073,DEM
AR00654025112890114049,DEM
AR00658000946936152065,DEM
AR00666163721260761089,REP
AR00666339093365391361,DEM
AR00666928088000495617,DEM
AR00671511745818263553,DEM
AR00676015345445634049,DEM
AR00677669010933809153,DEM
AR00679758357904490497,DEM
AR00680518945073004545,DEM
AR00685022544700375041,DEM
AR00687274344514060289,REP
AR00687942778864271361,DEM
AR00688320186230505473,DEM
AR00689108536067620865,DEM
AR00689526144327745537,REP
AR00710205965181386753,DEM
AR00710883058185666561,DEM
AR00713353317215895553,DEM
AR00716259670045491201,DEM
AR00716547742091968513,DEM
AR00719573804250038273,DEM
AR00723303141533024257,DEM
AR00724197800400650241,DEM
AR00730385302085959681,REP
AR00732758391776083969,DEM
AR00735860320236470273,DEM
AR00737371392810418177,DEM
AR00738905417689595905,DEM
AR00741157561100664833,DEM
AR00741317540042506241,DEM
AR00743569339856191489,REP
AR00754067751756103681,DEM
AR00758978101966274561,REP
AR00764926253714112513,DEM
AR00776584031906037761,DEM
AR00780367451417214977,DEM
AR00783385404677029889,REP
AR00784101736502525953,REP
AR00785001411891953665,REP
AR00788605336129896449,REP
AR00789404887241719809,DEM
AR00793108935757266945,REP
AR00795360735570952193,DEM
AR00798603195361263617,DEM
AR00799175147566137345,DEM
AR00802481447750336513,DEM
AR00803607347657179137,REP
AR00805131751809613825,DEM
AR00806619734639378433,DEM
AR00815626933894119425,REP
AR00816054643917324289,DEM
AR00818406499289137153,DEM
AR00818969449242558465,REP
AR00820130533521489921,REP
AR00821266535191412737,DEM
AR00823873545980346369,DEM
AR00824780368195354625,DEM
AR00826298243997499393,DEM
AR00827608312101994497,REP
AR00831389532589916161,DEM
AR00832613289031630849,DEM
AR00840459610165870593,DEM
AR00841964085670051841,REP
AR00843430490584121345,DEM
AR00846307706355580929,DEM
AR00849167536099426305,DEM
AR00851655730913083393,REP
AR00854591083361861633,DEM
AR00856524643278782465,REP
AR00858258847993692161,REP
AR00860662930167824385,DEM
AR00864845403680407553,REP
AR00866056034702065665,REP
AR00867418329608880129,DEM
AR00869398756208934913,DEM
AR00887184250141409281,DEM
AR00887684527932047361,REP
AR00894160651419648001,REP
AR00898726029856604161,DEM
AR00899003450384187393,DEM
AR00903447126627844097,REP
AR00905746411599953921,REP
AR00912534796389842945,DEM
AR00914706125696270337,REP
AR00917166832719233025,DEM
AR00922524959039815681,REP
AR00923713324951011329,REP
AR00925709969347575809,DEM
AR00928216924578381825,DEM
AR00931959937037238273,DEM
AR00932720524205752321,DEM
AR00933811239740506113,REP
AR00938480865623670785,DEM
AR00939475923646808065,DEM
AR00944931356746448897,DEM
AR00947431646188011521,REP
AR00949755257854885889,DEM
AR00949974335546720257,REP
AR00957060413109829633,DEM
AR00967207805922574337,DEM
AR00967988734056202241,REP
AR00968578347166597121,DEM
AR00968749321224716289,DEM
AR00968988121406373889,DEM
AR00970021456178053121,REP
AR00972091836573155329,REP
AR00975504720665772033,DEM
AR00981287808230490113,DEM
AR00982260120106827777,DEM
AR00982484626637324289,REP
AR00984116301892943873,DEM
AR00986003132565684225,REP
AR00991886550566436865,REP
AR01004778118243680257,REP
AR01011305025424588801,DEM
AR01011875671959404545,REP
AR01012150549866348545,DEM
AR01015004882052055041,REP
AR01018288917125791745,REP
