pd_id,party_all_clf_pdid
pd-1000253160054572-3,DEM
pd-100053898949-2,REP
pd-1000742886645168-1,REP
pd-100100329381867-1,DEM
pd-100104419147228-1,DEM
pd-100106862870477-1,REP
pd-100107122576062-2,REP
pd-100107639563772-1,DEM
pd-100110056126057-1,DEM
pd-100110691446025-1,DEM
pd-100111955187051-2,DEM
pd-100112308053813-1,REP
pd-100112349468879-1,REP
pd-100112769260413-1,REP
pd-100113541464939-1,DEM
pd-100113545962506-4,REP
pd-100117949519460-1,REP
pd-100118299381272-1,DEM
pd-100118352443123-1,REP
pd-100119952246-2,DEM
pd-100119981671668-1,DEM
pd-100120696136353-1,DEM
pd-100121426210967-1,REP
pd-100122859296204-1,REP
pd-100123268193677-1,DEM
pd-100123978196627-1,DEM
pd-100123978196627-2,REP
pd-100124709108034-1,REP
pd-100127392275662-2,DEM
pd-100131098643244-1,REP
pd-100131098643244-2,DEM
pd-100132208259029-1,REP
pd-100132719477604-1,REP
pd-100133675378733-2,DEM
pd-100135022548120-1,DEM
pd-100136011621987-2,DEM
pd-100136011621987-4,DEM
pd-100136138903212-1,DEM
pd-100139495580714-1,DEM
pd-100139812512377-1,REP
pd-100140842357463-1,REP
pd-100141446081267-1,REP
pd-100142305953708-1,REP
pd-100145544831970-1,REP
pd-100145644726687-1,DEM
pd-100146969473168-1,DEM
pd-100152282430534-1,REP
pd-100154062360906-1,REP
pd-100154641395795-2,REP
pd-100154782741627-1,DEM
pd-100155236215632-1,DEM
pd-100155236215632-2,DEM
pd-100155282576231-2,DEM
pd-100158112722420-1,REP
pd-100161236017115-1,REP
pd-100162859066606-1,REP
pd-100165315231945-1,REP
pd-100166744694195-2,DEM
pd-100166765977630-1,REP
pd-100171179336634-1,DEM
pd-100174476024202-1,REP
pd-100175055831165-1,REP
pd-100175976284-2,DEM
pd-100176302706977-1,DEM
pd-100179756041033-1,REP
pd-100180236220037-1,REP
pd-100182622537474-1,REP
pd-100184235633007-1,DEM
pd-100184235633007-NA,REP
pd-100187822111272-2,DEM
pd-100191365967556-1,REP
pd-100192212499001-1,DEM
pd-100192212499001-2,REP
pd-100193259365967-1,REP
pd-100194651563398-1,REP
pd-100195332843707-1,DEM
pd-100195642189896-1,REP
pd-100195642189896-2,REP
pd-100201159355359-1,DEM
pd-100201634866577-3,DEM
pd-100206722196154-3,REP
pd-100207186145228-1,REP
pd-100207206090950-1,DEM
pd-100210219470711-1,DEM
pd-100211222602763-1,DEM
pd-100217102659261-1,REP
pd-100217778224266-6,DEM
pd-100218195275969-1,REP
pd-100222684905792-2,DEM
pd-100224882688211-1,REP
pd-1002262699863147-4,REP
pd-100226579252944-1,REP
pd-100228812798172-1,DEM
pd-100233068289560-1,REP
pd-100233491336598-2,DEM
pd-100233599026107-2,DEM
pd-100234915917805-1,REP
pd-100235820068512-5,DEM
pd-100237768958546-1,DEM
pd-100242948666254-1,REP
pd-100244801971772-1,DEM
pd-100245164684067-2,REP
pd-100247938330908-1,DEM
pd-100249342555370-2,DEM
pd-100250286034683-2,DEM
pd-100250286034683-3,DEM
pd-100251498167839-1,DEM
pd-100254848277168-1,DEM
pd-100257861635199-1,REP
pd-100258092351686-1,REP
pd-100258504855920-1,REP
pd-100259339514094-1,DEM
pd-100259695614144-1,DEM
pd-100261662632822-1,REP
pd-100262278853486-1,DEM
pd-100262572838777-1,REP
pd-100263752682087-1,DEM
pd-100266839299832-1,DEM
pd-100268986164432-1,DEM
pd-100269042400720-1,DEM
pd-100270279555880-1,REP
pd-100272719261310-1,DEM
pd-100273805531723-2,DEM
pd-100273876052138-1,DEM
pd-100274695605996-NA,DEM
pd-100275882789275-1,DEM
pd-100278056030016-1,DEM
pd-100278204945758-2,DEM
pd-100279252669604-1,DEM
pd-100279327983605-1,REP
pd-100281359408639-1,REP
pd-100283392064269-2,REP
pd-100290248454584-2,REP
pd-100291011869176-3,DEM
pd-100291754854183-2,DEM
pd-100293822545334-1,REP
pd-100296230875-1,REP
pd-100298938781-3,DEM
pd-100299569445396-1,REP
pd-100299732611692-1,REP
pd-100301999423685-1,DEM
pd-100305786123438-1,DEM
pd-100305786123438-2,DEM
pd-100307572627421-1,REP
pd-100309919431125-1,REP
pd-100313809479260-1,DEM
pd-100315709509912-1,DEM
pd-100322056152220-1,REP
pd-100322475076309-1,REP
pd-100323728863026-1,DEM
pd-100325304863342-2,DEM
pd-100331082630458-1,REP
pd-1003381546385679-1,REP
pd-100339966111455-1,REP
pd-100343625526981-2,REP
pd-100345375951170-1,DEM
pd-100345982504722-1,DEM
pd-100351316200937-1,REP
pd-100351805757868-2,REP
pd-100354349454329-1,REP
pd-100355698760971-1,DEM
pd-100356565397651-1,DEM
pd-100358402599407-1,REP
pd-100362008472396-1,DEM
pd-100363929454482-1,DEM
pd-100364236173514-1,REP
pd-100364578945162-1,DEM
pd-100364869505573-1,DEM
pd-100365701954291-1,DEM
pd-100366968957951-2,DEM
pd-100367082648410-1,REP
pd-100368319473683-1,REP
pd-100370074694945-1,REP
pd-100370315566275-2,REP
pd-100370430049493-4,DEM
pd-100373885382195-2,REP
pd-100373975829221-2,DEM
pd-100375658422639-1,REP
pd-100376052858865-1,DEM
pd-100380256006530-1,REP
pd-100380849276034-1,DEM
pd-100380901362541-2,DEM
pd-100381092662283-1,REP
pd-100381449460571-1,DEM
pd-100383079437223-1,DEM
pd-100383465536997-1,DEM
pd-100387281381926-1,DEM
pd-100387865966725-1,DEM
pd-100390228535852-1,DEM
pd-100397372672997-1,REP
pd-100398276207601-1,REP
pd-100398676068796-1,REP
pd-100400036217291-1,DEM
pd-100401931826271-1,DEM
pd-100402282611595-1,DEM
pd-100403528653081-2,DEM
pd-100405956709980-3,DEM
pd-100408341564767-1,DEM
pd-100409988953509-1,DEM
pd-100410726130422-1,DEM
pd-100412136159243-1,DEM
pd-100412659205486-1,DEM
pd-100413109259054-1,DEM
pd-100414289205703-1,REP
pd-100414588420022-1,DEM
pd-100415716190965-1,DEM
pd-100415861455162-1,DEM
pd-100416560012896-3,DEM
pd-100417168386329-1,DEM
pd-100421625550214-2,DEM
pd-100423402636957-1,DEM
pd-100423566176827-1,DEM
pd-100425422872820-1,REP
pd-100426682537243-1,REP
pd-100427345058411-1,DEM
pd-100428442382390-1,DEM
pd-100428696137650-1,REP
pd-100429032316630-1,OTHER
pd-100429405881310-2,REP
pd-100429930002079-2,DEM
pd-100430252356864-2,DEM
pd-100430289315437-1,REP
pd-100431869378321-1,REP
pd-100432522143360-3,DEM
pd-100435362464692-2,REP
pd-100436749537714-1,REP
pd-100437136166676-1,REP
pd-100440371438615-2,REP
pd-100440519076489-1,REP
pd-100440699302724-1,DEM
pd-100441246009042-1,DEM
pd-100443865787978-1,REP
pd-100445379026719-2,DEM
pd-100447225240-2,DEM
pd-100447988215503-1,DEM
pd-100447998998701-1,DEM
pd-100448432802251-1,DEM
pd-100450853327826-1,DEM
pd-100452729530258-1,REP
pd-100454505965164-1,DEM
pd-100459906665298-2,DEM
pd-100464319014621-3,DEM
pd-100465979281471-1,REP
pd-100466376050855-NA,DEM
pd-100468449261521-3,DEM
pd-100470902819861-1,DEM
pd-100474002547727-1,REP
pd-100474135940556-1,REP
pd-100474559258466-2,REP
pd-100476832006560-2,DEM
pd-100477842653579-1,DEM
pd-100479141454050-1,REP
pd-100481739219478-1,DEM
pd-100484735718366-1,DEM
pd-100485764982266-2,DEM
pd-100485764982266-3,DEM
pd-100486829380298-1,DEM
pd-100488622837129-1,DEM
pd-100488652538373-1,REP
pd-100491622809643-1,DEM
pd-100493298099969-1,REP
pd-100494222851201-1,REP
pd-100498835928268-1,REP
pd-100500465282483-1,DEM
pd-100500609491331-1,REP
pd-100502085794104-1,REP
pd-100502122584292-1,DEM
pd-100504789334111-1,DEM
pd-100504912642677-1,REP
pd-100505749388933-1,DEM
pd-100509715917152-1,REP
pd-100509956719852-3,DEM
pd-100512179274446-1,DEM
pd-100513782781926-1,DEM
pd-100514919044073-1,REP
pd-100516209022707-1,DEM
pd-100518586108816-1,REP
pd-100521471577685-3,REP
pd-100522345345083-2,REP
pd-100524496093229-1,DEM
pd-1005263149506969-1,DEM
pd-100529452453149-1,REP
pd-100530275905511-1,REP
pd-100530350036102-1,DEM
pd-100531068354549-1,REP
pd-100532452397329-1,REP
pd-1005389302867980-2,REP
pd-100540971962779-1,DEM
pd-100544049253331-1,REP
pd-100546862844646-1,REP
pd-100548345633726-1,REP
pd-100548642732605-NA,DEM
pd-100549878681532-1,DEM
pd-100552445916277-1,DEM
pd-100552562649475-1,DEM
pd-100553305916516-1,REP
pd-100555665870719-1,DEM
pd-1005566252861190-4,DEM
pd-100558018916843-1,REP
pd-100559889255105-1,REP
pd-100560039509346-2,DEM
pd-100560496134449-1,DEM
pd-100561406005112-2,DEM
pd-100562019990818-3,DEM
pd-100564372513877-1,DEM
pd-100566731426931-1,REP
pd-100566902060431-2,DEM
pd-100567299262816-1,REP
pd-100568064752583-1,DEM
pd-100571859228938-1,REP
pd-100573822365033-1,REP
pd-100577781332391-2,DEM
pd-100578149318190-1,REP
pd-100579177991814-2,REP
pd-100581968113237-1,DEM
pd-100583639229570-1,REP
pd-100585302852839-1,DEM
pd-100586261390307-1,DEM
pd-100588181565071-1,DEM
pd-100588325953262-1,DEM
pd-100592685994297-1,DEM
pd-100595852117709-1,DEM
pd-100598365299578-1,DEM
pd-100599996078950-1,REP
pd-100600635928133-1,DEM
pd-100600869215644-1,REP
pd-100601111363705-1,REP
pd-100601565908976-2,DEM
pd-100603492224400-1,DEM
pd-100603596188260-1,DEM
pd-100604555908268-1,DEM
pd-100604641504806-1,DEM
pd-100606075096581-1,REP
pd-100607179026941-1,REP
pd-100607622666408-1,REP
pd-100607841717573-1,REP
pd-100607841717573-4,DEM
pd-100608816163507-1,REP
pd-100608849311811-1,REP
pd-100611476032959-4,REP
pd-100611849466065-1,REP
pd-100612032074472-1,DEM
pd-100613605181562-1,DEM
pd-100613829303615-1,REP
pd-100619719470916-1,REP
pd-100622992195498-NA,DEM
pd-100627382781747-1,DEM
pd-100627914988162-2,DEM
pd-100627914988162-3,DEM
pd-100628105406332-1,DEM
pd-100632649138007-1,DEM
pd-100632972305027-1,REP
pd-100632972305027-3,DEM
pd-100636595869157-2,REP
pd-100637132823083-2,REP
pd-100638637982216-1,DEM
pd-100638795596601-1,DEM
pd-100638979105192-1,REP
pd-100639478025484-2,DEM
pd-100641969304427-1,REP
pd-100643636153626-1,DEM
pd-100644052551564-1,REP
pd-100645168649569-2,DEM
pd-100645625399349-1,REP
pd-100652402259075-1,DEM
pd-100656834660976-2,REP
pd-100658918422645-2,DEM
pd-100659405994181-1,REP
pd-100659875960116-1,DEM
pd-100661142812821-1,REP
pd-100662912830131-1,DEM
pd-100663102575290-1,DEM
pd-100663839293885-1,DEM
pd-100665942159936-1,DEM
pd-100668474871421-1,REP
pd-100669719197967-1,REP
pd-100671532620063-1,REP
pd-100672199306402-1,REP
pd-100672652684456-1,DEM
pd-100674425783969-1,REP
pd-100675534635888-2,REP
pd-100677126678838-2,DEM
pd-100678372689292-1,DEM
pd-100679865955636-1,DEM
pd-100682618889108-NA,DEM
pd-100683301630987-2,REP
pd-100683535866693-1,DEM
pd-100684582632210-1,REP
pd-100684991996307-1,DEM
pd-100692068471118-2,DEM
pd-100693495471014-1,DEM
pd-100702042840046-1,REP
pd-100707165905792-1,REP
pd-100707172793276-1,DEM
pd-100707542554706-1,DEM
pd-100712552639423-1,DEM
pd-100712889249331-1,DEM
pd-100712904867226-2,DEM
pd-100712904867226-3,DEM
pd-100713801872276-1,DEM
pd-100714528346811-1,DEM
pd-100715169414826-1,DEM
pd-100716838873633-1,REP
pd-100718212806750-1,DEM
pd-100722544796361-2,DEM
pd-100722732749614-1,DEM
pd-100722909218796-1,DEM
pd-100723822773802-1,DEM
pd-100724009217885-1,REP
pd-100728088391862-2,REP
pd-100728242561332-1,REP
pd-100728821544877-1,REP
pd-100729866168479-1,REP
pd-100733365779301-1,DEM
pd-100735199413811-1,REP
pd-100737899272072-1,DEM
pd-100738597984768-1,REP
pd-100740713805855-2,REP
pd-100741471695626-1,DEM
pd-100743052668800-1,REP
pd-100744839253168-1,DEM
pd-100744839253168-2,DEM
pd-100748909176921-1,REP
pd-100748915091414-1,REP
pd-100755749226849-1,REP
pd-100755859429133-NA,REP
pd-100759622478152-1,REP
pd-100759945781959-1,DEM
pd-100761185188884-1,OTHER
pd-100763875877969-1,DEM
pd-100764555907219-2,REP
pd-100765221381239-2,DEM
pd-100767112712300-1,DEM
pd-100767232402640-1,REP
pd-100769216181653-1,DEM
pd-100770742533570-1,DEM
pd-100774122292536-1,DEM
pd-100776719189544-1,REP
pd-100778738384807-1,DEM
pd-100778832550945-1,REP
pd-100779318845591-2,DEM
pd-100779578065977-1,DEM
pd-100781258379575-1,REP
pd-100781602624368-1,DEM
pd-100783339463460-1,DEM
pd-100784262573885-2,DEM
pd-1007855922605367-2,REP
pd-100787389488031-1,REP
pd-100787798956969-1,DEM
pd-100788626095260-1,DEM
pd-100792182770432-1,REP
pd-100793259319035-2,DEM
pd-100794375848556-1,REP
pd-100794735723628-1,DEM
pd-100798594958887-1,DEM
pd-100799355946680-1,DEM
pd-100801038449520-1,DEM
pd-1008033952552086-1,DEM
pd-100803662834338-1,REP
pd-100808569499110-1,REP
pd-100810242340202-1,DEM
pd-100810572781693-1,DEM
pd-100812472543431-1,DEM
pd-100813268899734-1,DEM
pd-100817801358020-2,DEM
pd-100825462654789-1,DEM
pd-100827779406558-2,DEM
pd-100828376143873-NA,REP
pd-100828565821587-1,REP
pd-100831225902603-1,DEM
pd-100831446052078-1,DEM
pd-100835789280513-1,REP
pd-100836275957814-2,DEM
pd-100837242391163-1,REP
pd-100838255772621-1,DEM
pd-100839288957793-1,REP
pd-100841301990335-1,REP
pd-100846865217826-1,REP
pd-100847645206470-1,REP
pd-100848139251969-1,DEM
pd-100848146112128-1,DEM
pd-100850112538665-1,DEM
pd-100851842772261-1,DEM
pd-100852874648291-2,REP
pd-100854669301305-1,REP
pd-100857228331847-1,REP
pd-100860585088630-1,DEM
pd-100863158148988-1,DEM
pd-100863719212955-1,DEM
pd-100863919174468-1,DEM
pd-100865688698255-1,DEM
pd-100868529262380-1,DEM
pd-100868735687452-2,REP
pd-100869509139389-1,REP
pd-100872191359973-1,REP
pd-100874024777082-3,REP
pd-100880426150716-1,REP
pd-100882928345226-1,DEM
pd-100885098025939-2,REP
pd-100886575851471-1,DEM
pd-100890288406901-1,REP
pd-100895572727161-1,DEM
pd-100896569235528-1,DEM
pd-100905915863216-1,DEM
pd-100906252760076-1,DEM
pd-100908306074355-1,REP
pd-100918169300288-1,REP
pd-100920475449911-1,REP
pd-100923099200000-1,REP
pd-100923616166928-1,REP
pd-100928241585558-1,DEM
pd-100928241585558-2,DEM
pd-100928575991530-1,REP
pd-100929481572633-1,REP
pd-100931152655759-1,DEM
pd-100942289404249-1,REP
pd-100942289404249-2,DEM
pd-100945511582380-1,REP
pd-100945992520958-2,DEM
pd-100945992520958-3,DEM
pd-100945992520958-4,DEM
pd-100947155860595-1,REP
