pd_id,party_clf_pdid
pd-1000253160054572-4,DEM
pd-1000359586797421-2,REP
pd-100053898949-2,REP
pd-1000742886645168-1,DEM
pd-100100091453712-1,DEM
pd-100101998363705-1,DEM
pd-100103608247895-1,DEM
pd-100103658535861-1,REP
pd-100105365012286-2,REP
pd-100105621652541-1,DEM
pd-100105951856542-1,REP
pd-100106931449653-2,DEM
pd-100111158093316-2,REP
pd-100114168190549-1,REP
pd-100117371779426-1,DEM
pd-100119981671668-1,DEM
pd-100120218307673-1,DEM
pd-100121504768083-1,REP
pd-100123268193677-1,DEM
pd-100123544800892-2,REP
pd-100123544800892-3,REP
pd-100125601823635-1,REP
pd-100128285167791-1,DEM
pd-100129848351672-1,DEM
pd-100130481391681-1,REP
pd-100131284943324-1,REP
pd-100133611824182-1,DEM
pd-100137754724934-1,REP
pd-100138075133813-1,DEM
pd-100138565182689-1,DEM
pd-100139225156304-1,DEM
pd-100140741454415-2,REP
pd-100141828154663-1,DEM
pd-100145205051946-1,DEM
pd-100145544831970-1,DEM
pd-100147314821365-1,REP
pd-100148741470485-1,DEM
pd-100148741470485-2,DEM
pd-100150028120824-1,REP
pd-100154275123496-1,DEM
pd-100155681522118-1,DEM
pd-100156004894336-1,DEM
pd-100158548486722-1,REP
pd-100159508419515-1,REP
pd-100160148507407-1,REP
pd-100160641851642-2,REP
pd-100161698442643-2,REP
pd-100161931623703-2,DEM
pd-100162588547085-1,DEM
pd-100165838481376-1,REP
pd-100166744694195-1,DEM
pd-100166841619069-1,REP
pd-100170524856374-1,REP
pd-100175358228803-1,REP
pd-100176084940130-1,REP
pd-100177255214329-1,REP
pd-100177384750329-1,DEM
pd-100178541747974-1,DEM
pd-100178704952369-1,DEM
pd-100181858453961-1,REP
pd-100182064973992-1,DEM
pd-100183138237871-1,DEM
pd-100183144785309-2,DEM
pd-100183351836119-1,DEM
pd-100184714677097-1,DEM
pd-100195318518757-1,REP
pd-100196321464467-1,DEM
pd-100201634866577-1,REP
pd-100201634866577-2,REP
pd-100202668063976-2,DEM
pd-100205228188251-1,DEM
pd-100205694826096-1,DEM
pd-100206288433840-1,DEM
pd-100206548350997-2,DEM
pd-100206548350997-4,DEM
pd-100208464792701-1,REP
pd-100215871762890-1,REP
pd-100218161768257-1,DEM
pd-100222024970799-1,REP
pd-1002262699863147-3,REP
pd-100227504807847-1,DEM
pd-100232914922147-1,OTHER
pd-100233068289560-1,DEM
pd-100233228182981-1,REP
pd-100234941801896-1,DEM
pd-100235820068512-2,REP
pd-100235820068512-3,DEM
pd-100238871711188-1,DEM
pd-100240364900867-1,DEM
pd-100240451811819-2,DEM
pd-100240821517553-1,REP
pd-100244434823394-1,REP
pd-100246171577122-1,DEM
pd-100249105156815-2,DEM
pd-100252968283421-1,DEM
pd-100253338532113-1,DEM
pd-100253944909241-1,DEM
pd-100255851853717-1,REP
pd-100256754899828-4,REP
pd-100258001864356-1,DEM
pd-100258504855920-1,REP
pd-100265498007992-1,REP
pd-100265515053357-1,DEM
pd-100271248332283-1,REP
pd-100271721591340-1,DEM
pd-100274004723495-1,DEM
pd-100274141722313-1,DEM
pd-100274421421778-1,DEM
pd-100282584986856-1,DEM
pd-100282731561199-1,REP
pd-100282731561199-2,REP
pd-100285251855532-2,DEM
pd-100289406783527-2,REP
pd-100290731515324-1,DEM
pd-100292418537747-1,DEM
pd-100295388046401-1,DEM
pd-100300571683101-2,DEM
pd-100300901775163-1,DEM
pd-100303961656233-1,DEM
pd-100311508424543-1,DEM
pd-100318944827269-2,DEM
pd-100320671802111-1,REP
pd-100320671802111-2,REP
pd-100321415147980-1,REP
pd-100322078446746-2,DEM
pd-100323828429140-1,DEM
pd-100325078510982-1,DEM
pd-100325995160844-2,REP
pd-100328064909631-1,REP
pd-100329535080292-1,REP
pd-100333315153891-2,REP
pd-100333725080432-1,DEM
pd-1003381546385679-1,REP
pd-100338474957475-1,REP
pd-100353898199297-1,DEM
pd-100355778430951-1,REP
pd-100356395112896-1,REP
pd-100357441328931-1,DEM
pd-100359118476496-1,DEM
pd-100361738426458-1,DEM
pd-100362008472396-1,DEM
pd-100362008472396-2,DEM
pd-100367001834397-1,DEM
pd-100368514977755-1,REP
pd-100368881681671-1,DEM
pd-100373524955306-1,REP
pd-100373524955306-2,REP
